Country,Year,Number below $1 a day,Number below $2.15 a day,Number below $3.65 a day,Number below $6.85 a day,Number below $10 a day,Number below $20 a day,Number below $30 a day,Number below $40 a day
Latin America and the Caribbean (PIP),2021,6624756,29456650,68392080,184608896,292117984,488309216,564812608,597970176
Latin America and the Caribbean (PIP),2022,4914094,22612772,58193564,165000192,271075744,478013120,559706688,597222656
Latin America and the Caribbean (PIP),2023,4913371,22208032,57732128,162948112,268785440,478209792,562071232,600256256
Latin America and the Caribbean (PIP),2024,4906968,22070648,57196176,161694112,266990848,479471328,564976896,603661312
Latvia,1993,0,0,100507,1027828,1811374,2471319,2558035,2563290
Latvia,1995,0,770,156857,722679,1460244,2329591,2434535,2461324
Latvia,1996,0,43395,190754,754515,1509447,2325024,2413975,2436336
Latvia,2004,24892,56361,131297,436339,926901,1892761,2122864,2201368
Latvia,2005,25841,52881,115817,386476,837574,1730188,2029456,2131817
Latvia,2006,16567,34458,60513,208184,509319,1472382,1889595,2079623
Latvia,2007,8136,13972,37611,135113,318174,1140183,1640924,1898103
Latvia,2008,8600,27842,53090,171434,348352,1134990,1642690,1899592
Latvia,2009,19343,36339,82927,250981,466223,1370588,1795018,1970525
Latvia,2010,13556,36344,80421,248771,507474,1406121,1812549,1961813
Latvia,2011,7965,21186,63188,231327,480397,1391292,1767932,1911999
Latvia,2012,9522,21720,56152,211521,439265,1323792,1713376,1884626
Latvia,2013,11435,23455,50134,162726,350446,1187257,1614371,1807088
Latvia,2014,6894,15778,38803,142037,285693,1056163,1523224,1748973
Latvia,2015,6748,12860,32515,96404,211287,933694,1432164,1697354
Latvia,2016,5134,12677,28870,90018,195821,867017,1354709,1630672
Latvia,2017,4617,15484,29859,88285,184426,781094,1253387,1558229
Latvia,2018,2804,6938,18197,58531,137380,647322,1160592,1470854
Latvia,2019,3985,4576,15449,50364,119770,571409,1096685,1433105
Latvia,2020,3840,8647,15610,46770,100938,530691,1003794,1351842
Latvia,2021,4251,7487,14069,39133,83440,430451,905873,1262312
Lebanon,2011,0,0,3147,86600,264850,1632114,3097652,4024524
Lesotho,1986,451431,907501,1230123,1495222,1582160,1653281,1668426,1673973
Lesotho,1994,625128,1031507,1309528,1591429,1715450,1856667,1896613,1908254
Lesotho,2002,715185,1321694,1677016,1896482,1954006,1987495,1991292,1993400
Lesotho,2017,169689,704521,1188339,1761009,1983391,2138771,2164563,2169664
Liberia,2007,501899,1937986,3009375,3504472,3589401,3629274,3631012,3631851
Liberia,2014,83340,1171914,2738249,4082480,4368190,4506256,4518530,4519345
Liberia,2016,124655,1299718,2851212,4184649,4529824,4693506,4701629,4702556
Lithuania,1993,0,243678,1121687,2813737,3355965,3626343,3660812,3671197
Lithuania,2004,35607,91434,247505,729780,1344521,2752910,3133376,3269948
Lithuania,2005,24657,59198,145803,496436,940418,2542376,2990309,3169536
Lithuania,2006,14554,49801,93991,283487,555947,2060132,2757786,3014672
Lithuania,2007,22977,43285,61498,196515,435350,1648295,2486180,2852808
Lithuania,2008,21557,44431,72782,169057,384041,1493437,2355601,2750422
Lithuania,2009,31052,70952,135582,323019,652386,1852248,2541294,2857712
Lithuania,2010,30549,47523,98081,322631,676190,1940957,2640380,2918250
Lithuania,2011,13552,21214,48370,212133,505606,1731636,2481588,2807463
Lithuania,2012,18919,28318,60071,208473,495650,1610722,2370158,2688501
Lithuania,2013,13320,20852,59307,170768,436737,1560906,2277935,2610248
Lithuania,2014,17067,37007,77950,185086,416380,1419331,2130678,2528739
Lithuania,2015,14202,20911,41768,138215,354944,1212016,1981148,2364497
Lithuania,2016,18120,36441,63035,139194,288481,1090410,1864403,2288610
Lithuania,2017,22935,28921,43166,124742,229037,953286,1704362,2127263
Lithuania,2018,11722,25915,37533,80685,175268,757112,1511770,2022342
Lithuania,2019,9227,15310,19240,45693,108333,611993,1350340,1891065
Lithuania,2020,2587,5296,17850,45303,88864,445608,1132429,1702176
Lithuania,2021,3799,7019,11070,34477,71654,438072,1108993,1631369
Luxembourg,1985,0,0,0,847,1740,23675,91649,182314
Luxembourg,1986,0,0,0,824,824,17242,79155,151766
Luxembourg,1987,0,0,0,837,837,11016,67532,129689
Luxembourg,1988,0,0,0,0,0,5999,57648,119360
Luxembourg,1989,0,0,0,0,0,3635,43312,107962
Luxembourg,1990,0,0,0,0,0,3597,33364,94428
Luxembourg,1991,0,0,0,0,0,5645,35716,88869
Luxembourg,1992,0,0,0,0,0,4860,29940,83290
Luxembourg,1993,0,0,0,0,0,2875,25780,82291
Luxembourg,1994,0,0,0,0,928,8978,43304,96658
Luxembourg,1995,0,0,0,0,884,7880,39785,93971
Luxembourg,1996,0,0,0,1000,1000,9112,46383,97266
Luxembourg,1997,0,0,0,0,583,9423,43990,91176
Luxembourg,1998,0,0,0,0,940,6177,45565,98536
Luxembourg,1999,0,0,0,0,0,6451,39627,82632
Luxembourg,2000,0,0,0,0,0,7422,41394,90359
Luxembourg,2001,0,0,0,0,0,5146,37483,87186
Luxembourg,2002,0,0,0,0,0,4415,26571,75576
Luxembourg,2003,303,324,357,2315,2760,7604,36008,80824
Luxembourg,2004,10,83,96,302,1256,6083,31023,76213
Luxembourg,2005,69,161,422,667,1046,6094,32740,73397
Luxembourg,2006,0,0,18,207,765,4453,33242,77524
Luxembourg,2007,7,105,105,132,308,4417,29909,74858
Luxembourg,2008,0,0,0,548,1717,7003,39194,87362
Luxembourg,2009,220,220,340,1115,1574,5071,34577,90638
Luxembourg,2010,0,0,187,1295,1525,7706,33401,89171
Luxembourg,2011,170,609,718,1087,1211,6240,45715,105660
Luxembourg,2012,158,232,319,1767,1943,8127,51746,119095
Luxembourg,2013,362,484,663,1383,1575,9902,48729,107954
Luxembourg,2014,718,778,1104,1592,2052,8663,44138,97256
Luxembourg,2015,1049,1710,2047,3843,5216,18641,64523,124050
Luxembourg,2016,387,682,772,2840,6035,12815,45356,105505
Luxembourg,2017,1056,1688,2279,5272,9360,23987,64407,128323
Luxembourg,2018,562,1732,2301,4069,6282,21784,64162,119122
Luxembourg,2019,627,627,747,1595,2454,13541,53669,115749
Luxembourg,2020,0,0,17,124,336,8947,44446,94327
Luxembourg,2021,167,320,647,2101,4134,17217,39451,82316
Madagascar,1980,1407904,4357666,6607144,8183989,8588178,8860917,8910222,8927223
Madagascar,1993,3752303,9628737,11799111,12814133,12996044,13093798,13105110,13111199
Madagascar,1997,4037760,10252170,13148447,14480934,14671113,14759769,14773054,14775616
Madagascar,1999,4071162,10518844,13855597,15378713,15636061,15725843,15730554,15730885
Madagascar,2001,6088869,11863260,14396580,16030062,16422841,16684710,16702963,16708751
Madagascar,2005,5060410,13947807,16985588,18412694,18619070,18752514,18772644,18784972
Madagascar,2010,8519494,17418466,20071390,21308022,21564280,21705954,21719388,21721254
Madagascar,2012,10111828,18907122,21642958,22993256,23282256,23404864,23418742,23420178
Malawi,1997,1306349,6251796,8824681,10030506,10359137,10582867,10633410,10649179
Malawi,2004,2633901,8601553,11093993,12138517,12314368,12440045,12476275,12487468
Malawi,2010,4037698,10137870,12933639,14253804,14530273,14735243,14779560,14799364
Malawi,2016,3209472,11538619,15317678,16999606,17303586,17502558,17533852,17539228
Malawi,2019,4403482,13329276,16943974,18510746,18856756,19008668,19017410,19021794
Malaysia,1984,0,393010,2227788,5793806,8466741,12443245,13629176,14085925
Malaysia,1987,0,265027,2376587,6431679,9405981,13694355,14939165,15414867
Malaysia,1989,0,123226,2383671,6799378,10054480,14649409,15931025,16409972
Malaysia,1992,0,185823,2492769,6865998,10141149,15266563,16935820,17611490
Malaysia,1995,0,291381,2670756,7248273,10754710,16413578,18304834,19076076
Malaysia,1997,0,0,1761982,5865836,9281853,15772203,18385002,19543506
Malaysia,2003,15955,388718,2039761,6881514,11082485,18594254,21655450,23043916
Malaysia,2006,13089,204159,1290311,5932614,10386694,18976058,22646790,24379604
Malaysia,2008,6660,193665,1477889,6138765,10608549,19325128,23375286,25290062
Malaysia,2011,313,40836,538248,3764383,7852548,17572896,22593822,25311470
Malaysia,2013,861,10239,175478,1974508,5191772,15708676,21888996,25289556
Malaysia,2015,0,5991,123145,1516393,4290522,14433198,21090818,25132238
Malaysia,2018,0,3594,61176,1104960,3522784,13021509,19984604,24438684
Malaysia,2021,0,0,32239,764861,2891683,12300807,19602934,24491354
Maldives,2002,717,19478,82253,210259,254187,287974,292464,293589
Maldives,2009,56,13405,64042,179421,260448,338587,347694,351065
Maldives,2016,0,0,1159,24896,75974,298487,395783,428807
Maldives,2019,0,0,0,19831,87371,346973,444716,482910
Mali,1994,5667551,8206052,9066140,9519199,9628275,9695046,9705548,9707722
Mali,2001,1752128,6637279,9280492,11102920,11431466,11584885,11604260,11613072
Mali,2006,1492841,6824454,10608796,12877922,13408254,13703305,13734451,13736991
Mali,2009,890158,7454427,12172726,14846290,15312023,15473936,15474540,15474540
Mali,2018,90513,3088684,9773748,16430584,18685674,20054106,20259304,20288120
Mali,2021,134955,4648860,12504846,19143994,20972676,22108572,22265708,22292406
Malta,2006,403,2075,2390,3352,9119,81893,191856,285348
Malta,2007,874,1669,2665,4579,9379,70215,170681,259980
Malta,2008,266,446,977,2413,4094,68113,165158,257834
Malta,2009,897,1775,2215,4127,7403,72027,176323,269415
Malta,2010,545,909,1104,1919,5246,66211,170143,262470
Malta,2011,683,773,1586,2344,3944,65142,160443,258695
Malta,2012,109,494,1153,1844,4246,60074,150293,251121
Malta,2013,0,126,126,824,3246,49124,136156,236091
Malta,2014,0,0,111,617,2661,41521,124373,218096
Malta,2015,376,376,426,1286,2816,41846,127520,226772
Malta,2016,344,419,828,1359,2378,36841,112210,204576
Malta,2017,453,748,1008,1457,3390,36507,113932,207539
Malta,2018,172,501,1117,1372,2651,33609,110739,200648
Malta,2019,782,1536,2238,3439,5903,32547,96540,194169
Malta,2020,681,1318,3528,4297,6089,27456,92309,180986
Marshall Islands,2019,0,377,2693,13890,25174,38825,42241,43364
Mauritania,1987,290418,766037,1250135,1662281,1770514,1840004,1851092,1851092
Mauritania,1993,176818,958828,1596369,2022731,2129394,2204694,2220398,2226505
Mauritania,1995,93692,525710,1248343,2022744,2238862,2386213,2402334,2406497
Mauritania,2000,61806,586281,1339480,2208444,2486557,2700106,2724193,2727672
Mauritania,2004,43727,540709,1470546,2465375,2735937,2925788,2965206,2973677
Mauritania,2008,35938,385445,1193387,2329057,2850136,3218258,3244641,3249583
Mauritania,2014,20638,249454,1007606,2566771,3339164,3784118,3828412,3839829
Mauritania,2019,38007,238428,1150303,3027436,3862060,4389822,4439968,4451485
Mauritius,2006,0,3805,35136,281924,599985,1059934,1167959,1203452
Mauritius,2012,0,5179,33093,243304,529982,1039148,1160029,1205968
Mauritius,2017,0,1585,22601,170991,415322,984539,1148206,1200860
Mexico,1984,712838,6104648,18760996,39539380,51369148,66223948,69972488,71451112
Mexico,1989,1372358,6984398,18863832,42925212,57200256,72531168,76505720,78100120
Mexico,1992,742797,6685526,17780382,41650164,55535652,73738176,78849776,81382944
Mexico,1994,948134,7006861,19198798,42075444,57316748,76258096,81735368,83924648
Mexico,1996,2456511,12786342,29358762,55318424,68957088,83802464,87543472,89280208
Mexico,1998,3063229,14439945,29009832,53753624,68550392,85225080,90117112,92174520
Mexico,2000,2032266,10451561,23143570,48815932,64654816,85247896,91182208,93769112
Mexico,2002,1161080,7590222,20821964,47476532,65576256,87705272,94066248,96683160
Mexico,2004,1697053,7432974,18355744,45903728,65223656,89047784,96512056,99774968
Mexico,2005,1797754,8224688,18719026,45264188,63993624,90254968,98047760,101098792
Mexico,2006,937298,5722800,16025019,42391576,62749532,90040824,98256560,101698648
Mexico,2008,1136457,6561634,18227546,44141780,63423160,91159384,100377840,104262760
Mexico,2010,933666,5293932,16136997,45217864,66645112,95468136,104309568,107914336
Mexico,2012,832535,4861284,15573829,43225820,66023748,96734024,105662384,109560504
Mexico,2014,656301,4730182,15548012,47907796,71907032,101455048,109853440,113545848
Mexico,2016,248446,2814867,10771062,38180356,63181664,99288400,110609848,114998152
Mexico,2018,225077,2326468,9709794,35711048,61609876,100548872,112727256,117545240
Mexico,2020,318218,2686208,10317035,38139592,63998528,103445912,115358016,119985936
Mexico,2022,169376,1504140,5981539,27759976,52761380,98600416,113801288,119888504
Micronesia (country),2005,445,9496,30103,66278,85938,104307,108287,109959
Micronesia (country),2013,4538,17408,44360,81346,96046,106798,108053,108437
Micronesia (country) (urban),2000,6179,10847,15047,19549,21673,23887,24438,24662
Middle East and North Africa (PIP),1990,130181,14810615,60850912,146039344,187101328,221231280,227219008,228976880
Middle East and North Africa (PIP),1991,137073,14667132,66214032,154197200,193155808,226559664,233163424,235193744
Middle East and North Africa (PIP),1992,144660,13230840,64044392,155222016,196086192,231540928,238699136,240995504
Middle East and North Africa (PIP),1993,177203,12829190,63930352,157122160,199549568,236452784,243885824,246266160
Middle East and North Africa (PIP),1994,166716,12025458,64252280,160100432,203415040,241222880,248924912,251434960
Middle East and North Africa (PIP),1995,217333,12263205,66050676,164168864,208034224,246343216,254201744,256777376
Middle East and North Africa (PIP),1996,197742,10452844,63032072,163251008,209355712,250324144,258869968,261744336
Middle East and North Africa (PIP),1997,220198,9795865,60764560,162558336,211553984,255024608,264009168,267012576
Middle East and North Africa (PIP),1998,226715,9005200,56424496,157205072,210013312,258805760,268831680,272156512
Middle East and North Africa (PIP),1999,248433,9106714,55537260,157071696,212029360,263369632,273951712,277482816
Middle East and North Africa (PIP),2000,261693,8486550,53639232,154817600,211296096,266825952,278671904,282623456
Middle East and North Africa (PIP),2001,265408,8707596,54963988,157764816,214761104,271546208,283912352,288065984
Middle East and North Africa (PIP),2002,261481,8328826,54626484,159039808,216884704,274887136,288058592,292733120
Middle East and North Africa (PIP),2003,241965,8616610,56280216,165828896,221934992,278085344,291995680,297115072
Middle East and North Africa (PIP),2004,228611,8271164,52805048,157620272,216180144,279942368,295988288,302125344
Middle East and North Africa (PIP),2005,230057,8335991,52612436,159084240,218742944,284454528,301149600,307780512
Middle East and North Africa (PIP),2006,218670,8207292,52440952,160428928,221292432,288741216,306120608,312915232
Middle East and North Africa (PIP),2007,261948,8301010,52337740,161528320,223509072,293057856,311453696,318603168
Middle East and North Africa (PIP),2008,311883,8185927,51652872,161634336,225838240,298258880,317512000,324979680
Middle East and North Africa (PIP),2009,386680,7468776,47123308,159092112,227249200,303486880,323737248,331524480
Middle East and North Africa (PIP),2010,330546,6478703,43994472,157345744,229293648,311298176,331838240,339212864
Middle East and North Africa (PIP),2011,368709,7126338,42329372,155682032,231864960,320161600,340848224,347444512
Middle East and North Africa (PIP),2012,379733,8017550,42104584,158061152,237041584,327567712,347974240,354393088
Middle East and North Africa (PIP),2013,324668,9264557,43890696,162492624,243688736,335293216,355340160,361797952
Middle East and North Africa (PIP),2014,461318,10381193,46559500,166432192,249760576,342679424,363018176,369425664
Middle East and North Africa (PIP),2015,1122296,14038597,49922256,167642384,252595760,349106976,369892416,376691872
Middle East and North Africa (PIP),2016,1475326,17319662,56459344,173021008,256267328,354373344,376283200,383308224
Middle East and North Africa (PIP),2017,1806581,18439126,59412672,177230304,259908336,358936512,381914752,389592256
Middle East and North Africa (PIP),2018,1936097,18943804,60764572,181743664,265847360,365720160,388584704,396375808
Middle East and North Africa (PIP),2019,2062149,18672272,59800428,186224720,273599360,375065216,396614848,403826848
Middle East and North Africa (PIP),2020,2858196,22122300,66722952,199762016,288924448,385187264,404967104,411283520
Middle East and North Africa (PIP),2021,3405794,24970678,70504600,198616096,287765792,388911840,410371392,417071904
Middle East and North Africa (PIP),2022,3536460,26126132,69421192,195076208,285379456,392363040,415803744,422967744
Middle East and North Africa (PIP),2023,3972864,27797856,70811704,196863248,288937152,398164448,422128736,429327296
Middle East and North Africa (PIP),2024,4446802,29769174,72524416,198746144,292566944,403754176,428329824,435820096
Moldova,1997,64884,382012,1146765,2219881,2641750,2899994,2923906,2929654
Moldova,1998,128241,705846,1557800,2461522,2738756,2906558,2923249,2929966
Moldova,1999,152501,982018,1933140,2591991,2755830,2897141,2917170,2927536
Moldova,2000,118388,909115,1890850,2654735,2819495,2910898,2920669,2924467
Moldova,2001,78164,678633,1607824,2502670,2739562,2886821,2907608,2915696
Moldova,2002,17362,394744,1178171,2239171,2632292,2879204,2902289,2909035
Moldova,2003,3097,162832,805244,2020507,2498564,2838586,2881667,2894722
Moldova,2004,6277,189701,831655,2033636,2512412,2828729,2874404,2888409
Moldova,2005,25068,314173,1031205,2174109,2577432,2834534,2874239,2883670
Moldova,2006,6747,56540,304958,1207110,1871946,2675820,2818501,2850704
Moldova,2007,3313,27376,187072,932774,1664806,2605142,2776422,2839804
Moldova,2008,835,27467,207516,975285,1727733,2614206,2799699,2834234
Moldova,2009,1010,18854,187780,945812,1648324,2620442,2802112,2845682
Moldova,2010,0,11747,127661,860567,1628540,2625714,2795428,2836396
Moldova,2011,0,6199,89067,772896,1554087,2632256,2792040,2839046
Moldova,2012,0,3962,66162,739738,1576860,2638495,2802687,2840432
Moldova,2013,0,720,46671,602650,1415099,2590127,2796570,2839198
Moldova,2014,0,0,23820,567421,1463654,2625676,2808073,2846079
Moldova,2015,0,885,25302,500979,1349967,2597007,2779684,2814475
Moldova,2016,0,3029,30587,496661,1415537,2599896,2755178,2791803
Moldova,2017,0,0,19965,481857,1356478,2548356,2702794,2743804
Moldova,2018,0,0,16816,394548,1248409,2478663,2651443,2692599
Moldova,2019,0,763,10038,391568,1200181,2413297,2607930,2648564
Moldova,2021,0,0,8765,374228,1142853,2376069,2538044,2580736
Mongolia,1995,0,343957,958000,1848002,2145352,2327142,2330334,2330334
Mongolia,1998,108111,684240,1578378,2262114,2376334,2405148,2405148,2405148
Mongolia,2002,16608,290058,939080,1925542,2294304,2483882,2493775,2496142
Mongolia,2007,978,44410,387218,1326031,1913779,2483146,2580008,2603184
Mongolia,2010,418,30905,341636,1323210,1981284,2588292,2673542,2692438
Mongolia,2011,0,23507,241261,1200218,1884516,2579539,2702580,2723670
Mongolia,2012,112,13211,164593,950250,1651065,2544510,2714538,2764069
Mongolia,2014,0,9508,117586,815247,1600449,2643615,2827149,2871469
Mongolia,2016,0,21404,258228,1268182,2065880,2877522,2985248,3012182
Mongolia,2018,0,22515,217561,1213330,2031640,2961918,3107703,3144398
Mongolia,2022,0,7592,81511,752147,1621879,2988377,3280684,3356114
Montenegro,2012,5598,18812,64742,163268,253911,456064,558041,593927
Montenegro,2013,3170,18817,50682,144553,246252,458662,559560,595263
Montenegro,2014,1166,10120,52532,140585,229806,447877,551428,594897
Montenegro,2015,39,8373,49574,132221,223382,457677,552494,592618
Montenegro,2016,7843,15398,36977,107907,191032,428039,541572,585569
Montenegro,2017,9261,20610,43735,107298,179304,423433,542955,591721
Montenegro,2018,5305,17670,39387,114892,189935,435993,547826,594450
Montenegro,2019,2273,12426,26223,94858,172505,418601,540376,591012
Montenegro,2020,3776,10982,25824,95714,181978,427045,545784,594338
Montenegro,2021,4697,12243,22847,75499,144590,384740,531486,585352
Morocco,1984,0,2912951,8295343,17097554,20034128,21701100,21936652,22009726
Morocco,1990,14015,1177099,6091293,14713905,19516752,23634814,24532496,24709492
Morocco,1998,128468,2332497,8840917,19060148,23484826,26887582,27510118,27699906
Morocco,2000,106194,2290256,9394304,19684528,24044650,27770340,28505068,28700500
Morocco,2006,33743,1323446,6301442,18458904,24385378,29455230,30393450,30779650
Morocco,2013,8440,491034,3320629,14326329,22374808,30843754,32626120,33297320
Mozambique,1996,9084053,13393977,14868115,15746917,15953178,16144966,16181946,16188067
Mozambique,2002,7839732,15264095,17528418,18474980,18685092,18867906,18906478,18918532
Mozambique,2008,6652082,15746122,19931814,21579264,21883036,22142764,22191822,22205324
Mozambique,2014,6778980,17060470,21939600,24692076,25474598,26097894,26230602,26287556
Mozambique,2019,11493330,23183408,27572524,29896566,30490144,30935776,31028118,31069150
Myanmar,2015,83608,3200758,15457348,37497424,45980160,50429996,51130956,51246964
Myanmar,2017,6667,1041143,10272123,35663056,45583072,51404420,52025660,52167332
Namibia,1993,466206,828572,1044040,1244893,1335419,1448549,1488710,1508357
Namibia,2003,146527,692663,1163160,1506303,1644507,1792582,1841462,1869737
Namibia,2009,87342,561742,1075340,1528902,1722861,1920402,1989553,2018166
Namibia,2015,77255,358204,762706,1314719,1591905,1976261,2108984,2167222
Nauru,2012,0,177,2214,6545,8836,10376,10522,10585
Nepal,1984,2327174,11872057,15896404,17094500,17280396,17341090,17341090,17341090
Nepal,1995,1962593,12434601,18886346,21771086,22216574,22488284,22526170,22532936
Nepal,2003,1048681,10384298,18194182,23102012,24383752,25373602,25617684,25677642
Nepal,2010,78435,2239717,10880188,21851254,24978276,26931804,27111860,27158432
Nepal,2022,1565,112627,2304648,13539505,22360006,29548440,30449156,30598912
Netherlands,1983,65841,65841,211489,428906,573228,2116758,7182920,10235447
Netherlands,1987,36582,36582,66224,107858,140101,1608988,6121327,9750951
Netherlands,1990,111412,142448,220393,261002,296389,1119901,4223182,7886606
Netherlands,1993,112634,190940,300630,454816,569892,1565402,5116236,8637525
Netherlands,1999,32082,32082,77875,115008,156117,750809,3280974,6836770
Netherlands,2004,7671,38405,70075,125401,221127,1023735,3466329,6708386
Netherlands,2005,10142,24206,34197,73652,181296,870577,3200165,6534404
Netherlands,2006,3347,7485,18125,37963,125536,751037,2721866,5970798
Netherlands,2007,2153,4690,9634,66682,131163,638960,2276454,5296834
Netherlands,2008,15844,21973,34826,97188,132382,730054,2330648,5208362
Netherlands,2009,14269,18311,40195,66157,101584,615103,2382420,5157638
Netherlands,2010,701,7882,18292,31399,57848,649433,2424938,5296424
Netherlands,2011,16034,16034,28387,62779,75648,651979,2457722,5550683
Netherlands,2012,7306,12707,15639,31538,64040,721884,2493434,5633644
Netherlands,2013,0,14599,26041,48041,113267,863595,2765203,6040712
Netherlands,2014,1403,9733,35356,64454,104802,819673,2747098,5857008
Netherlands,2015,845,10446,22587,66841,101245,669250,2276372,5029323
Netherlands,2016,1178,7820,25562,59993,107566,651445,2053859,4589961
Netherlands,2017,6533,32338,50838,70542,154341,624909,2032171,4620869
Netherlands,2018,6755,17390,28532,64385,114502,605281,1977212,4597844
Netherlands,2019,5718,16604,20219,69546,132336,639210,2042853,4241708
Netherlands,2020,1652,4877,19044,42656,90571,519948,1464138,3439039
Netherlands,2021,8196,12224,21166,51426,71126,486110,1410099,3134583
Nicaragua,1993,791390,1734366,2654362,3585226,4001797,4366226,4449611,4479162
Nicaragua,1998,463294,1281424,2389912,3689060,4262994,4766930,4868040,4904268
Nicaragua,2001,179928,925064,2082056,3583355,4252342,4905042,5048534,5108002
Nicaragua,2005,54111,496295,1598162,3328532,4224018,5067970,5257304,5355066
Nicaragua,2009,45466,477615,1398976,3293062,4349824,5396778,5617716,5688270
Nicaragua,2014,20558,244686,896612,2612974,3900687,5513368,5873456,6018632
Niger,1992,3401976,7719619,8756253,9059858,9111191,9141387,9146420,9148158
Niger,1994,4995811,8217044,9181437,9512220,9573932,9605712,9607812,9608142
Niger,2005,5611814,11153621,12863781,13596706,13727117,13810478,13834669,13839099
Niger,2007,4346786,11889381,14014403,14758089,14942156,15057533,15064095,15069162
Niger,2011,1337886,10466489,15265306,16887992,17136466,17274238,17282840,17282840
Niger,2014,1642833,10376563,15958069,18725816,19182902,19357374,19368352,19370488
Niger,2018,1460685,11744442,18724736,21910246,22512568,22967646,23037722,23065450
Niger,2021,1000673,13023112,21373204,24778442,25340496,25671150,25721212,25725262
Nigeria,1985,11852800,40237420,62780208,78557296,82499256,84139984,84139984,84139984
Nigeria,1992,22351660,52449188,73911192,92527704,97552336,100114856,100182048,100182048
Nigeria,1996,28677268,65234112,88272032,103477688,107700672,110610792,111219120,111316152
Nigeria,2003,18645570,64903052,102453688,127367640,132914512,135253168,135458928,135517728
Nigeria,2010,6836608,56935752,107737144,148214080,158661920,163007824,163190800,163205568
Nigeria,2012,6745199,58321404,112262368,156094960,167386368,172175728,172379984,172399920
Nigeria,2015,6749502,60104216,117956640,166840192,180053312,186013840,186305472,186329280
Nigeria,2018,7096150,62367092,128262928,183581152,195865376,201531568,201938272,202023632
North Macedonia,2009,85075,200303,381624,836491,1261734,1837670,1978952,2022875
North Macedonia,2010,124206,214711,368543,776787,1182675,1845449,1997185,2037370
North Macedonia,2011,80934,187061,319868,765697,1156316,1824939,1993854,2040563
North Macedonia,2012,52464,142476,291473,736343,1134460,1829957,1998399,2045438
North Macedonia,2013,24779,107860,248441,704314,1135408,1840818,2013748,2052135
North Macedonia,2014,31868,93382,217273,616233,1055555,1820258,2006842,2054462
North Macedonia,2015,35970,113915,209338,595413,984763,1783249,1995233,2052240
North Macedonia,2016,27776,87804,200371,517070,864452,1754502,1993876,2051517
North Macedonia,2017,33862,93228,190884,478442,822915,1712928,1989370,2053549
North Macedonia,2018,15511,70561,147720,431881,785961,1691957,1985793,2056631
North Macedonia,2019,19448,55310,154849,394151,693852,1561143,1949152,2043674
Norway,1979,9266,9266,19743,50757,110325,1231694,2708198,3380062
Norway,1986,0,10205,10205,20282,40692,374575,1604052,2687732
Norway,1991,10204,20254,20254,30805,42303,296764,1416300,2578310
Norway,1995,9746,21405,21405,32635,53526,359494,1394366,2604403
Norway,2000,10557,10557,10557,21905,33623,178897,819112,1964687
Norway,2003,6391,9336,10597,16440,29694,165237,680769,1683829
Norway,2004,10475,12161,14227,26374,45337,196082,680730,1711572
Norway,2005,6570,9337,12696,22880,38357,178750,602825,1514920
Norway,2006,4271,6105,12478,31387,51225,201821,620512,1433022
Norway,2007,4101,5966,13356,24704,30643,156891,420201,1136011
Norway,2008,6917,10811,14028,21957,36644,139298,446085,1022970
Norway,2009,1615,4198,6267,15137,27428,130923,413377,992212
Norway,2010,5292,7382,8089,18890,34321,119400,387915,999285
Norway,2011,2362,4833,6950,12403,24620,92784,331149,885879
Norway,2012,5230,5887,9084,16866,27173,102331,331038,828520
Norway,2013,4432,6626,9473,21845,32462,99660,309016,717880
Norway,2014,4586,5801,7377,18060,29559,116940,324118,739345
Norway,2015,4721,8823,11265,19641,35256,110691,331508,731535
Norway,2016,9734,14692,22291,38351,55807,139739,404916,802219
Norway,2017,8978,15390,18221,31257,49860,146190,366553,803274
Norway,2018,11018,13517,15508,25858,33335,131033,369550,800042
Norway,2019,7017,8371,13484,27791,39364,131335,336620,768235
Other high income countries (PIP),1990,2042010,3843851,6635526,18769708,43042484,192331888,374349664,527787168
Other high income countries (PIP),1991,2296386,4089404,6741778,18616790,41214024,186848736,368540960,525846368
Other high income countries (PIP),1992,2417434,4585676,7520996,19701808,42673116,186690000,365636608,526106784
Other high income countries (PIP),1993,3493686,5198234,8034996,20820078,44305400,190290208,372040608,532900000
Other high income countries (PIP),1994,3607424,4886688,7871088,20055240,42106396,182103232,363891552,526578560
Other high income countries (PIP),1995,3345772,4858414,7530404,18678488,39958564,174422880,357195840,520720800
Other high income countries (PIP),1996,3297392,5308504,7284395,18505474,37998416,170391872,350325472,516308160
Other high income countries (PIP),1997,3321466,5245866,7345814,17607436,36289564,162209408,343796000,511334720
Other high income countries (PIP),1998,3675045,5315114,8075403,17561112,35899744,160243360,335014720,500181728
Other high income countries (PIP),1999,3428180,5038137,7051942,16520834,32695884,150174688,323312000,489421312
Other high income countries (PIP),2000,3294579,4772920,7707029,15934054,31247194,140955360,311098912,478460480
Other high income countries (PIP),2001,4153058,4944834,7769387,15680305,30622514,138253824,306251360,476095712
Other high income countries (PIP),2002,4256286,5111512,7569573,15266594,30184874,135117360,300240512,470058304
Other high income countries (PIP),2003,3907603,5654562,8254394,16186925,29898362,131245344,296562560,467478496
Other high income countries (PIP),2004,3853694,5423166,7745895,15503660,28688628,126886136,288222976,458749344
Other high income countries (PIP),2005,3932192,5430750,8138260,15114808,28335484,123560352,285044992,455399008
